acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,total_acc,total_gyro,roll_avg_acc_X,roll_avg_acc_Y,roll_avg_acc_Z,roll_avg_gyro_X,roll_avg_gyro_Y,roll_avg_gyro_Z,tlt_X,tlt_Y,Still_Time,fall
-1.5970206089306818,0.870568981291459,-10.416316503327604,-0.11636799540022372,0.05180763415025917,-0.14299640079396503,10.532584770901455,0.19675459853532604,1.491496010798334,0.7069253791760347,-10.143965374622871,-0.0816363319605936,0.012867697940626624,-0.10542000973575681,175.14031950799856,-171.322585719782,7313.955862418821,1.0
-1.5045048705242086,0.9341796734577608,-10.389436929320306,-0.10405591651271108,0.023955379886855317,-0.24441984993397364,10.67564533757309,0.21557208684080167,1.4701205098564651,0.7048570484750952,-10.105837323541223,-0.15873035767501706,-0.17269000059787684,0.02973782583780532,175.13496209659502,-171.28745940922207,7313.9570821210455,1.0
-0.21803864686861113,-5.574269871407442,8.153775701885593,0.15837780685569552,0.12683711433604025,-0.1740672920190235,9.899059573096936,0.18565638020448494,-1.6845791599013518,-6.649478046379626,7.287376202831295,-0.08621881704761289,0.08175589231699826,-0.11534914207606438,-34.13500702117503,-1.0149984562829695,5110.061800651171,1.0
-0.5317365532728552,-2.642031182020679,9.31981823119464,-0.5605551078467403,-2.471386742090389,0.050920380373505734,9.803827553373655,2.5441932395646285,-1.8862026094764932,-3.4051517769374007,8.544659087830011,-0.13736815690446558,-0.6264317283791354,-0.17424963179073358,-16.010966708067155,-2.9685575241127977,7314.067832861137,1.0
-1.9603600777188845,-4.49858834572445,8.156374129536534,0.10868310326264308,-0.3856658831529073,-0.3116996536509991,9.584605013816295,0.5225187588342521,-1.407617384362724,-6.400444403252294,7.382035580398016,0.016159183222978046,0.1865695095151959,-0.11666172410402571,-29.173875013709363,-13.3582696046262,7313.962948497,1.0
-11.30925711339923,0.13803864558072984,-6.681765827538802,0.1813623044586018,0.06357471338982498,-1.5151697381097793,12.960674124993597,1.4742513796749026,-9.013488283323737,-3.937607949063593,-5.038413798623889,0.0631310987112981,0.07817063659476439,-0.049346188061571636,178.8519883888365,-120.3348853905044,7313.961858724511,1.0
-0.1834968354613892,0.30905139455716113,6.667660272589447,1.1208168953275188,-1.2228682390243204,0.3467933733702174,6.659818888848778,1.6441753465477582,-0.6467375886933066,-5.585444677903972,7.4569328798559065,-0.6306917200656419,-0.02797300342160444,0.005025285170841718,3.013841825094532,-1.5578950591124443,7314.05150920905,1.0
1.5800914771191117,0.7999897249323111,-10.247306037805012,-0.10758349855216444,0.15615289593021864,-0.10833900354394659,10.355357013782992,0.1421455691713794,1.5386646806843411,0.8118893148532402,-10.006094235679804,-0.13704820761619677,-0.020589296820083078,-0.05861613005829726,175.54163101339594,171.24346667558527,5110.001098669451,1.0
-0.1484960976026491,0.31286335305162394,6.678357367804338,0.9827741890680842,-1.2637140781522924,0.39697607494932985,6.7145124064943165,1.7146434741605994,-0.7130573693924765,-5.49791596652526,7.51156634960147,-0.5536527758611897,-0.01763979921845031,-0.035126710414009166,3.0186193577665357,-1.5352403254079365,7314.009540637949,1.0
-1.9565319113146387,-4.564350524778783,8.099851104122148,0.04229262536341254,-0.38935700037937104,-0.31531491754915875,9.591430197254004,0.4626255751660719,-1.3779099075087842,-6.462148626534926,7.484858629846123,0.005902870852858205,0.0905618825399001,-0.17183938597754372,-29.255387737644853,-13.329725778817147,7314.0180799117,1.0
-4.97196746226695,1.6892914181726493,7.983295753568399,-0.10249079777927618,-0.0017899623954829979,0.0030865763521773434,9.541615411028,0.06647005874087164,-4.845760250467177,1.8368055926011235,7.860583951262516,-0.22339923572982712,0.07551056387307777,-0.0522038941983354,12.441702145318825,-31.727778775761703,7313.941054768974,1.0
-0.5567833420648101,-2.689598824229777,9.425501428257618,-0.6006048874454337,-2.526942739863173,-0.0010187977093788943,9.884805514968996,2.5989392852788464,-1.8143088155986078,-3.3489997945895396,8.448320000769199,-0.13317860256065275,-0.5550608867955968,-0.1366857263234012,-15.925411008135876,-3.0561857865140123,7313.929216967997,1.0
1.9648736707481524,1.8389152599693854,-10.047512565969518,-0.12128509150647418,0.14387717079168802,-0.0017389721057692311,10.448403216705756,0.07491500720674261,1.6083175212615408,1.464634860711068,-5.913886321848783,-0.6925451818585922,-0.22442981978941717,-0.33019395056156636,170.0284297559349,168.93079767773781,7314.006084452803,1.0
-9.540861682905271,-2.838596370215689,-4.640695577366012,1.5809756077222095,0.016902247495534976,-3.010010340599325,11.115735639481548,3.3709936712375006,-9.067816524385162,-4.190890596625876,-5.0627601056362,-0.275106284277439,0.22871533144074963,0.5074357278344772,-147.95850115024285,-115.77097627768349,5109.99727752896,1.0
-1.6220639613727854,0.8955146597689293,-10.479794940024492,-0.12591047030779481,0.048096320138121006,-0.11228832516251988,10.609176557861579,0.21802175192777734,1.5674031307849998,0.713588151427459,-10.121165319683687,-0.1162115170990116,0.05151453136442935,-0.09088486164922104,175.2104352235096,-171.41795810350197,7313.97149907289,1.0
-1.8435503685577412,-6.884328758201358,7.847250437496386,-0.7518018715913127,0.4262006528970174,-0.23566171916058667,10.583552441989156,0.8855187845234256,-0.328544515079925,-5.14603319523901,7.300273541368582,-0.49769211885177866,-0.13060706115038698,0.13676398199862502,-41.22375261849022,-13.332774310210397,5110.072927546167,1.0
1.6224717011221246,0.7042684047149267,-10.21810112128801,-0.12253612024908923,-0.07724812842227236,0.04125544820040193,10.315373225503825,0.14090208543637517,1.5748616438419538,0.6694932317561115,-10.092281698546765,-0.12586241778960156,0.037363995620632216,-0.010908430025718648,175.49877491686132,171.1922050293956,5110.011747049205,1.0
1.570172471519444,0.7313667233351048,-10.283362323193842,-0.06014142617689628,0.06312137435549191,0.07224981994612611,10.379651055950157,0.043203428846546356,1.5038753309828827,0.6686563544277125,-9.974533721519014,-0.08422371238300425,-0.0680616051741922,0.023924335017607587,175.54224786905132,171.1555748615472,5109.993649817531,1.0
-1.9567648641489515,-4.530509565839206,8.196761863066223,0.15298206873232062,-0.35245565224276126,-0.3680329561117198,9.591528644408758,0.4682965729968328,-1.3354019857354136,-6.415293402064369,7.470267769211704,-0.0056535784648390555,0.10669253684799565,-0.13777618785338666,-29.303081897687157,-13.357959142748701,7314.024494701744,1.0
-4.923829477498867,1.802359435470342,7.979567971570501,-0.19889900577441177,-0.0020791643050712127,-0.04807911878698206,9.606669267146877,0.167621665405831,-4.86342144995425,1.7529957115570478,7.829634128952855,0.00961450115948645,0.022988849236177694,0.07002668744755904,12.461569242048,-31.739053618579106,7313.859766642172,1.0
1.6149431315649674,0.7500007169480211,-10.180111587360072,-0.027398328388030316,-0.0316321789298064,-0.0718145354274465,10.420554403562836,0.11910612130729506,1.5222026737365388,0.7727566465000328,-10.044068838308505,-0.053855209601366166,-0.005003274561197513,-0.11410784751223033,175.5856722526385,171.29234917467016,5109.958282703532,1.0
-11.109535538186941,0.12754311202054341,-6.578949162768206,0.2042847687663086,0.15594723944606137,-1.4921430835900602,13.014685336015162,1.5320876049985699,-9.167335595566716,-3.873672346300219,-4.9811591668351465,0.07913150118031839,0.18883931402893556,-0.12057974624345602,178.8482342472961,-120.34667007763184,7314.000205310871,1.0
-9.680459945293508,-1.73110070151119,1.843195384732784,-0.6249580354914446,-0.3324853560918397,0.02557285200687972,9.959735317732866,0.7504981045090866,-6.1115778488787695,-5.361792661754616,3.966517215799956,0.03212257230379598,-0.019467106036045272,0.26722454985966076,-42.78614375296923,-79.29509455040277,5110.018133290724,1.0
-9.699573160566748,-1.6638194687740055,1.927378590655767,-0.6947457020791714,-0.34722996673777184,0.05954315538997495,10.052819024473184,0.7351827965468369,-6.077230551299977,-5.360667183883185,4.078917840368536,0.04419936557230237,-0.04543194919472209,0.2531393282292299,-42.70330543486917,-79.26253280539687,5109.974308401751,1.0
-1.9599903431072603,-4.471660846597153,8.315293724183267,0.5613485500713065,0.8363843081054763,-1.4047039800032763,9.59066362142008,1.7226055934967477,-1.889821997151039,-3.024480129031063,8.565070938641188,-0.271622503419239,-0.8897688699787808,0.16421067378017062,-28.007677823863148,-13.580841758062945,5109.954332883315,1.0
-0.20354383889349076,-5.5008958970408806,8.122494362969647,0.2223495594382104,0.17604312205536954,-0.044915229705152576,9.828408659590496,0.22483140176359812,-1.6503346148375033,-6.6128279176237434,7.3111615282695706,0.0422151699104934,0.11167952003256329,-0.12781847474732314,-34.17754788098416,-1.057512889272143,5110.069736626702,1.0
-0.542592420156983,-2.6620510676739935,9.40625738186095,-0.5715710558537079,-2.515925797894325,0.10097939708361806,9.730731580592058,2.54727599805784,-1.8328383129152486,-3.4076472940885165,8.466286645032636,-0.16955253098267667,-0.4975646010386199,-0.2311073166357956,-15.99973009107145,-2.9651443435457905,7314.063213985443,1.0
-1.9884843808557018,-4.37356474403969,8.348181344410873,0.4678503761330965,0.89126246939993,-1.266472118734537,9.675110485447043,1.6297107044293342,-1.8399190065150666,-3.119749067420775,8.519926999151968,-0.32129601245226536,-0.8893724314628078,0.17850131342741854,-28.011775764442522,-13.54953831212731,5109.99028013347,1.0
-1.9517450451985199,-6.9198316211505295,7.853011987936355,-0.7055468405332315,0.33116974661451826,-0.23721425031769044,10.505079835154419,0.8318322065171994,-0.3249529290967259,-5.253578551768434,7.259796063166405,-0.46988302375747615,-0.027615683886280523,0.0994932272698581,-41.220459872051606,-13.182906225553593,5110.040012915888,1.0
-5.923844422576979,-6.909415661778176,4.878558784119374,0.4487767213318043,0.33205180976232784,-0.14472052600544943,10.355537212768173,0.6377487976371758,-6.7047527755441,-4.57502834370152,3.7275713919759212,-0.07365104359421948,-0.1092163037477373,0.19486070891802798,-54.85684322889067,-50.3932296318101,7314.021788157093,1.0
-1.9741624955494126,-4.545351103876607,8.179265997864272,0.13028674340246538,-0.3391339554646946,-0.3617782125562055,9.483168422082203,0.46415294792923245,-1.3404780894486317,-6.393032609119404,7.493404034234227,0.020871852436650545,0.06638358098085002,-0.1790195378551103,-29.228910072851974,-13.32762033724732,7314.004221575034,1.0
-0.13775606002846874,0.3387509413112509,6.589140247346389,1.12417285575581,-1.2882931454209623,0.38667997615285077,6.672361234980187,1.6451750117872015,-0.6154741029915672,-5.4508772782049055,7.43381385728562,-0.4777981012999475,0.014706724910471827,0.04990845661470261,3.0399301702203485,-1.592005962947282,7314.032607706782,1.0
-8.285822331410738,1.9257450894196206,4.043494595810561,-0.5342282157549574,-1.3202431493273477,0.3980480515249862,9.406226421687427,1.358136322953693,-9.047940829780071,-3.1830565739485115,-3.6884514691305332,-1.0196036854220343,-1.1599724157970326,0.29978398887122937,25.11828004604551,-64.09681279816861,5110.02022671396,1.0
-1.8635958450971153,-6.900418585340882,7.78164140414296,-0.6994061843784654,0.33978266664201456,-0.2992775681731234,10.561809980042167,0.848101930867989,-0.33021791687147906,-5.202317290751422,7.3758503191014935,-0.4145944345625447,-0.12073072731666726,0.07866369306877802,-41.21625744322604,-13.369320775212405,5109.980683636071,1.0
-9.60012967436096,-1.7138785550935511,1.7607039796247028,-0.6558833838460849,-0.291157398534676,0.04223124022358517,9.970387825230922,0.7402979618700177,-6.125917395799924,-5.418160469997106,4.048874187949828,-0.04878450269186084,0.026012262994188726,0.25007680925675696,-42.65764815825865,-79.37060413270348,5110.026771085098,1.0
-5.061889705242315,1.8504169418934804,7.921220538112932,-0.260836710049168,0.054184804330061336,-0.030508577020223228,9.594877942492781,0.17107087747744068,-4.873096230694235,1.6631611952293406,7.962880290262581,-0.11723452379183134,-0.04619851149072244,0.02171021894271484,12.497193826914637,-31.718165506619748,7313.981333861762,1.0
1.9559656993907382,1.8039527307056649,-10.108519745290781,-0.10916930305177772,0.06143174976274523,0.0035062537964649847,10.477346935751799,0.16473174805755836,1.6391971109410426,1.4813890280416357,-5.913131117036446,-0.7211731515418458,-0.22910743318571003,-0.3709407194492661,170.06889729575576,168.8181192288857,7314.069685271079,1.0
-8.31069886126118,1.8965151809051337,4.089826757786867,-0.4850433631479068,-1.2857927936952644,0.36086089844084435,9.548552719607848,1.51342477605484,-9.035441883376858,-3.1870353368491844,-3.6980038189976234,-1.0852465730058736,-1.2031788793700584,0.40161532708927844,25.029093240817726,-64.16205988940621,5110.060182905812,1.0
1.991555351047633,1.7727324822294057,-10.078770589626087,-0.15692837600549808,0.04529182119422192,-0.08287202210106302,10.438376400469814,0.13684489071406442,1.6381729698521612,1.4540945884482281,-5.936845726256945,-0.6743889786743975,-0.19867137372450677,-0.34480880514256884,170.02009641806293,168.87934627377098,7313.98733561551,1.0
-4.884379882301676,1.7751420098830724,8.02242153286656,-0.062234669389078914,-0.013626034671265875,0.006001855275139309,9.54383282810643,0.17035640003144642,-4.920690987039082,1.8131261489981403,7.8700083246545525,-0.10435790052527513,0.05449244489603779,-0.07401767385700697,12.474338365296093,-31.729817082439578,7313.9762601235,1.0
-13.592100986670877,-1.7041238789346949,-4.5336439160423,0.4441218077591446,0.6523400115904914,0.04944467129680093,14.339204951267876,0.8302030218784289,-9.236839035397354,-3.524769540307506,-4.184323818532748,0.001644917318789324,0.1894500353398148,-0.4712845340920326,-159.88762438743652,-108.45258637369024,5109.939059929462,1.0
-1.919341157628569,-4.28871530351343,8.336413999196504,0.5015842482306256,0.8610035963139673,-1.2604787065632146,9.5286598100166,1.6822009728787686,-1.89958017483161,-3.083669706974125,8.636183678811559,-0.27108832770731556,-0.8989005174185328,0.12121979011347353,-28.05783485333281,-13.615961060125786,5109.971601592388,1.0
-4.961466713032966,1.7356764839110976,8.029726062479027,-0.05948091740535165,-0.007351840646520863,0.02719693886632544,9.589243802562162,0.18228284439641115,-4.9334659555245075,1.8051775318080143,7.856352771320475,-0.14809498090955742,0.10281263402375657,-0.00923592181608606,12.530303027681297,-31.78482969442757,7313.980177082048,1.0
-8.39135345188129,1.9311600471905133,3.998417538193659,-0.4780928376032143,-1.2339428783670447,0.47079612049420294,9.435980133825849,1.398413236199285,-8.972932074895931,-3.226362731204233,-3.7785810080798488,-1.0339433045184832,-1.3054133548419022,0.3685254175413566,24.960375459764393,-64.10585887422438,5110.083511645816,1.0
-13.639421102648853,-1.5977175647745916,-4.496262340196965,0.5185880790081657,0.7686776690679514,0.0016124027777846568,14.38830642596384,0.9114886754066748,-9.260533085714563,-3.6420388296853483,-4.03686453193681,-0.05053425585022694,0.26323499445833864,-0.4404728432803347,-159.80598026399844,-108.48358499616204,5110.0791646430525,1.0
-9.686534110825143,-1.6113275918305168,1.775643201238534,-0.6573541278021421,-0.35270724955290167,-0.060258786886541515,10.105113572687895,0.7351507739416088,-6.120782572952836,-5.419696914668818,3.9412747895443676,-0.056549454125784375,0.13205766134290353,0.24085863715864717,-42.731945564095916,-79.21458851190192,5110.018816284228,1.0
-1.9278774291546212,-4.3555670807239935,8.269376550955208,0.5240239422444549,0.8125800231644121,-1.2742850959154215,9.579436203467738,1.602739521578605,-1.9025957144191723,-3.1408409188848467,8.516178748724629,-0.24566236027682764,-0.9165626483178759,0.057630084166671106,-28.103091482241023,-13.590499858207059,5110.06510232387,1.0
-0.183667339643735,-5.542322196022634,8.136786870047754,0.22680419291411236,0.2149179834499832,-0.010469799220076847,9.79979645799846,0.16887525755361255,-1.682442161611429,-6.690135949201237,7.364381441532122,-0.06928214588345256,0.18231235884068436,-0.15442229994785514,-34.118413448502885,-0.9981650326624202,5109.963996809706,1.0
-0.2144641416025821,0.461054610620259,6.593083615963919,1.0130109649828054,-1.2207798772582952,0.3593334470512256,6.6837611096080565,1.671501390715911,-0.6933684871371373,-5.476504899991765,7.343322981617008,-0.5557538049061733,-0.042367589797125155,0.0785370183870195,3.059962840484707,-1.4702783870197205,7313.894345285073,1.0
-5.030029928671525,1.8183596274204605,7.835095031545826,-0.07682838738632532,-0.012874365908908062,-0.05470793316542049,9.490425916305393,0.06075425933233977,-4.948182923163324,1.7018747618839787,7.869695616067826,-0.09484515850374343,-0.0334541242976534,-0.003970293692880228,12.832215554360536,-32.2446887343864,5109.986969619205,1.0
-1.6097532863684474,0.8645362456538102,-10.472293359578018,-0.12090949455286411,0.01933572866105647,-0.15350942207417415,10.614945800519493,0.11888360134938136,1.5207243005283195,0.690726884790495,-10.07440681469597,-0.16573662590001748,-0.02595783432523184,-0.020207831509670586,175.1472575352823,-171.30018156512463,7314.091306881725,1.0
-0.14385247956389666,-5.476373695787788,8.175030171993862,0.17619189301957133,0.10565151891685219,-0.08719604513827968,9.954319450034241,0.21513507572035656,-1.7020062289675206,-6.5660376514177194,7.359842038689816,0.041166430760462766,0.13893239331056775,-0.13487382438726667,-34.14849416093666,-1.0807310606898268,5109.991151953528,1.0
-0.19539409585428152,-5.500948075657171,8.193312313263347,0.2815052598652996,0.1842213670118776,-0.12152501908034254,9.824805147223591,0.22425361806703525,-1.591842747409182,-6.6606498660687,7.3707719680010095,0.0007512522776449114,0.13720672572888087,-0.15230221118958215,-34.105022322449706,-1.0121408691200615,5110.008166287859,1.0
-1.6829025907596689,0.8632637595362156,-10.465349337098559,-0.041370463286564144,-0.033334262616147914,-0.18832638078655253,10.591580387571964,0.16825807529444317,1.506645364299074,0.745635189944199,-10.039903761871857,-0.04601202350329872,-0.021090523614372476,-0.030127926897139272,175.24025604790214,-171.24473117156643,7313.929710199026,1.0
-13.56937767324301,-1.6959094522009308,-4.545163369043329,0.5801208898272961,0.6924204615540035,0.07972831785898676,14.464229770662547,0.8778165736577433,-9.260316614078533,-3.554149858336422,-4.210777250403803,-0.10367813104556478,0.26789720907238673,-0.4332940883039318,-159.8884366145403,-108.39802250790056,5109.91092590458,1.0
-1.9259532461315947,-6.861126742329998,7.84119080394723,-0.7613227800334104,0.2713448702796276,-0.22345018313646367,10.684589078297263,0.7989389160292881,-0.40984127414652016,-5.117425117023409,7.322573804642732,-0.5043203422642463,-0.1892633868998919,0.06458938033808537,-41.3420236628913,-13.288402693444365,5110.04861092913,1.0
-4.847190679751739,1.7623488722735392,7.96523533763315,-0.060961355174756246,-0.02308212981909021,-0.08493097732303329,9.560761157347676,0.040079007080594475,-4.810659066521715,1.838148483477335,7.879451268976919,-0.09745566539307308,-0.048079421539269626,0.09441992553781232,12.490895159851163,-31.75749178341131,7313.9058742494135,1.0
-13.60103527342678,-1.695638422806689,-4.488946236488954,0.4585295367519769,0.72180076589029,0.013473954265043123,14.508191213554912,0.9895114974354811,-9.203880446713674,-3.4999724399240253,-4.208335155670438,-0.14243348682172574,0.2074065769358166,-0.4166439173955601,-159.83462746112463,-108.45890649446329,5109.920498492459,1.0
-1.5146487623032947,0.854417829337942,-10.446853423484308,-0.05851246622062497,0.021425270034974846,-0.14910387513403606,10.603809269212269,0.22146814991940583,1.5442196655992106,0.7433688612828286,-10.08754938569384,-0.10422165178664193,0.04472066911274544,-0.05363063480119297,175.17606221774358,-171.32610241940992,7314.005359495646,1.0
-4.931179404250139,1.7500154730357793,7.8938352864688826,-0.053579308832694496,-0.0029572753463455647,-0.017390439816607577,9.505808184718115,0.11440062160958886,-4.975438254141718,1.7487191898513432,7.915148643798606,-0.12098962105873401,0.0909426926873388,0.03709651541591969,12.375952260779368,-31.692100639826847,7313.889563614143,1.0
1.5825928339074864,0.8322667596485955,-10.204767682809182,-0.1403488670390923,0.0025423543662901477,0.07680819002060725,10.282619794464058,0.08315965942335289,1.5499729274712295,0.6874102943446839,-10.062099158389634,-0.09544879164141898,-0.12436569622668166,0.05000640039291534,175.53054361169535,171.2093868681803,5110.016615128262,1.0
-1.541970601720972,0.9030677272517866,-10.49446871797507,-0.08973578544233758,0.03576589502899137,-0.28077598950938604,10.645577768317635,0.27940190503435003,1.5225184057303005,0.7688165250332574,-10.11841093314839,0.01275789862855771,-0.0018160526501497837,0.05215296488402529,175.2275061565034,-171.24355274595462,7313.923551865589,1.0
-1.9998488115523345,-4.428665988372295,8.263307633622121,0.5511892573078149,0.8462765114581409,-1.3299193751160963,9.60460992037175,1.6565499445709837,-1.8569253558984486,-3.0848035420974234,8.608387008986163,-0.25101996276769734,-0.9235114773516783,0.05310512435770513,-28.051735376049603,-13.60702066363363,5110.025436436335,1.0
1.9373351703181276,1.6440209426533272,-10.076667886067137,-0.11261421324654967,-0.009556169907520154,-0.03472776955949187,10.381495983666532,0.056745579225456436,1.7170153309994602,1.3541923293207312,-4.911871097689783,-0.7997661592210914,-0.36467873252662164,-0.4586172116401136,170.70244218817493,169.01673836938042,5109.945427632891,1.0
-4.532409404701734,-7.007719445224376,-5.983424751233062,2.2881939220671694,1.4235001446034807,-0.28183889542414475,10.175306472529348,2.6636194809099014,-8.826776477124875,-2.2103977989577994,-2.1895439481991716,-0.9050472785761698,-1.1701848215458057,0.3250647575228407,-130.32385577090682,-142.58858128612167,7313.926618382078,1.0
-0.14570387343645405,0.3031369810632963,6.672634754309543,1.0647743403239964,-1.1428783214037739,0.2908699873412795,6.616695751110313,1.6588635181310902,-0.6619657377616149,-5.5180019695258204,7.399533827159934,-0.44707339210730584,-0.036414354489308964,0.03880418767999942,3.0634359323927205,-1.5074444920641772,7314.051760727558,1.0
-1.9526732980788466,-4.5367753680616625,8.253473449234445,0.5290198972058111,0.7420536492739799,-1.1964040897784765,9.59287737602512,1.6072276911471857,-1.891022280362589,-3.111631831211687,8.497860737853195,-0.2435436052650894,-1.0331667263194548,0.15249176107269086,-28.110884853072125,-13.483512511822354,5109.975989964719,1.0
-0.19463528827696067,0.4010650274199008,6.584638180121624,1.0430519405192447,-1.2652153101413537,0.4430753515219693,6.6378623305102655,1.5990148342761805,-0.6950412986946388,-5.5566153935194,7.441239594154706,-0.4217975765525341,-0.1684245236760469,0.025639629118464832,2.9842549458542678,-1.6070422269013371,7313.957438340788,1.0
-0.17189449666845089,0.32518052112865437,6.719966388508861,1.0833462470678261,-1.1759051346491516,0.2896816472228392,6.659942258580949,1.7173868704495379,-0.6829336023918171,-5.5736652786113385,7.417174508526201,-0.4405068901666092,-0.10824882567005922,0.07034293702819139,3.030167260983487,-1.5607574922709369,7313.937990757229,1.0
-9.669701157023265,-1.571117880826735,-4.35435420921131,1.2014270191137795,0.4967200134003205,-1.0997999497180444,10.639572483663523,1.6429275342181542,-10.0298971588145,-3.0627599745560676,-4.234513005136742,0.03049023027679068,0.3064998983651238,-0.40619471791221806,-160.00074332854246,-114.10691659099211,7313.96829144287,1.0
-1.9020766427190963,-4.520916853930653,8.1157654096994,-0.05095153373171998,-0.36163086033204755,-0.30797178164616346,9.575727994624883,0.48906397283671155,-1.3914907241865109,-6.500402176687777,7.512737265109374,0.11845219214729877,0.17933049683654412,-0.19511352736753157,-29.221572348696007,-13.402074973051018,7314.108747290366,1.0
-1.5783078354155262,0.9160799814030948,-10.450740435573042,-0.09326038827257596,0.07634817193884456,-0.18213591801878748,10.477099637936584,0.14077566761305982,1.491703436246193,0.6551178120559523,-10.167749236586705,-0.08625898299813935,-0.01621564929913028,0.0020349593087591114,175.14055542714888,-171.25465750484182,7314.000815683068,1.0
1.950995139646897,1.6976534205456681,-10.053362369954831,-0.12662867275622786,0.06206651266816597,-0.0039164039863851105,10.353333501127175,0.13267030013336326,1.623434680821791,1.4112342466446433,-4.904790832420466,-0.7558996819596694,-0.40031377982765765,-0.4450511471819351,170.73666805675285,169.08311255322542,5110.002177801528,1.0
-9.622250130395546,-1.7287286816639515,1.7832988582731673,-0.600219541658968,-0.3160500180162436,0.04667426343839169,9.947535780111869,0.7536450233642407,-6.209927729332926,-5.390359468587843,4.05505988706288,0.01686820881061671,-0.008192051340820272,0.29565799493450684,-42.745589311824155,-79.25032314558608,5109.971063314098,1.0
-9.600164178992427,-2.9224032675712226,-4.668966574468033,1.518182412364543,0.034608993432769165,-2.9869498720832914,10.971636803327886,3.299401401341688,-9.008321670003488,-4.137975452949467,-5.057619417397758,-0.21189927840556666,0.13854551106324467,0.6116147249693134,-148.0975195227725,-115.82463992485629,5109.929218903205,1.0
-1.8970515835191935,-6.955094939128753,7.7638700733724875,-0.679188907474061,0.4026787859254643,-0.19445226036778285,10.558607447968567,0.8386668354504891,-0.40106521944336354,-5.183392715714751,7.334589935202494,-0.43257199478834857,-0.21628214013448066,0.030235587611248962,-41.186454685204424,-13.333984688572155,5109.995619211857,1.0
-4.590530495770609,-7.033517867707033,-5.940776813610448,2.2877956157082293,1.3279187848029408,-0.3114682651946701,10.26856530347758,2.6770281696877913,-8.961745751793709,-2.1911070485093256,-2.1425940580229472,-1.064724598241159,-1.3045021033281496,0.3501526987219816,-130.37793702421536,-142.62545086121034,7313.98188135006,1.0
-4.89351290511635,1.7733281801226504,7.967305015772426,-0.15013409683675177,-0.05989929259188662,-0.06441074729246167,9.551882119750285,0.22558378153052888,-4.891678793768746,1.765455803373673,7.881392058357508,-0.11221222379926246,0.045531760230823726,-0.028742712014803773,12.512144791317327,-31.725110852430685,7313.941129795723,1.0
-4.5469674363008385,-7.051877401739961,-5.945053840459867,2.220423237425812,1.3520891968329325,-0.3874616130455548,10.250944890264417,2.7410251399656,-8.910839554634574,-2.2456915046860586,-2.0588445401313895,-0.953754856204433,-1.2837495759339443,0.31355678930259473,-130.30714999994802,-142.54155080569015,7314.01284627313,1.0
-1.9752564119539038,-4.559248402434306,8.176102271497708,0.1150897457603099,-0.33746262483517475,-0.32285604317847794,9.587004426955247,0.49039996422924664,-1.3079166007200624,-6.534734671594526,7.437883189475683,0.02261067063971593,0.20644280744419063,-0.050647092046760184,-29.240298504230925,-13.44500009652685,7313.969940310927,1.0
-8.365852251840494,1.8164637076743817,4.079361317683347,-0.5435306723992023,-1.178962537545785,0.4457495351782267,9.493565066220565,1.485014526155819,-9.06378708171603,-3.1869044849782338,-3.8188721314774763,-0.9994433338867688,-1.229467207363086,0.3175348275752914,25.111060295071002,-64.19035826727396,5109.985294643941,1.0
-13.568837505245245,-1.5748364728492232,-4.481145699564224,0.4568063089214599,0.8106084912734035,0.0822837538995162,14.436560083273923,0.926728861812079,-9.222957125485372,-3.6272668269673547,-4.207290439621464,-0.04337914218005708,0.23270078918127285,-0.44570024055671953,-159.85285799638228,-108.37912374349203,5110.027742331556,1.0
-8.374859319151481,1.9278779341994323,4.104929588674733,-0.49518567308689204,-1.3044893841918335,0.4765594309425957,9.382843434329825,1.4949983527707869,-8.996920036701164,-3.239367586088394,-3.789618087342753,-0.9962216048547509,-1.2824994533342289,0.44334956335448805,25.06961360223856,-64.18554574147257,5109.966469649142,1.0
-1.9105683054216867,-6.839109430577869,7.827231018460007,-0.8005591360829035,0.3676048687787438,-0.22442634698377004,10.699150539214637,0.8487935117297639,-0.36886326771437,-5.112271077329338,7.354100495594381,-0.41664965553216887,-0.0588077087895629,0.036046588008157354,-41.28504347970145,-13.38685610916928,5109.994222915323,1.0
-13.624021792286937,-1.6807310413195085,-4.500678181779604,0.5072882228065205,0.7738133956632198,0.05788690794771002,14.363725527093631,0.880628705932151,-9.31287848927196,-3.6055347500965143,-4.152708464370085,-0.09430489238875689,0.269798636658389,-0.46580336584814214,-159.84348894410877,-108.35450088298946,5110.020302091111,1.0
1.9306464757250659,1.7699291480586576,-10.127486480080146,-0.1273502829719803,0.004073285316158887,0.09918436989846977,10.484710144826547,0.07872950619498564,1.6908412045570549,1.470412183112164,-5.922942579045755,-0.6685989420716371,-0.17430802287900074,-0.35993291821095347,169.9925217646124,168.9310678240206,7313.994467087623,1.0
-9.640788307533924,-1.5952598789325472,-4.380761355342346,1.0437064470410033,0.5018622699868686,-1.0981140821474709,10.783133317757652,1.5062657576488654,-10.11969888604971,-3.180988305039557,-4.224483144313798,0.03299699278986795,0.20094213346648773,-0.42787087457394773,-160.1427760017211,-114.03439774498318,7314.03424155929,1.0
